scene_id,im_id,obj_id,score,R,t,time
59,114,02,0.9881677031517029,0.5782411694526672  0.8158507347106934  -0.004991941154003143  0.4026716947555542  -0.29070770740509033  -0.8679542541503906  -0.7095722556114197  0.4998766779899597  -0.4966190755367279,-56.72638490796089  -99.97261315584183  990.8567070960999,-1
59,1034,02,0.9990229606628418,0.788725733757019  -0.6144317984580994  0.019629286602139473  -0.27821972966194153  -0.3852507770061493  -0.8798726797103882  0.548183798789978  0.6885169148445129  -0.47480422258377075,105.40392994880676  -41.41984134912491  855.7896614074707,-1
50,1066,02,0.9928054213523865,-0.9870237112045288  -0.1532226800918579  -0.04803229123353958  0.09210238605737686  -0.2951847016811371  -0.9509904384613037  0.13153493404388428  -0.943074107170105  0.3054664433002472,55.23120239377022  -90.18965065479279  1004.9656629562378,-1
54,577,02,0.9997541308403015,-0.4861390292644501  0.855393648147583  0.17880336940288544  0.20427629351615906  0.31017404794692993  -0.9284735918045044  -0.8496705293655396  -0.41484197974205017  -0.32552433013916016,-5.817291792482138  -86.87692880630493  1020.5529928207397,-1
54,22,02,0.9999991655349731,-0.29036372900009155  0.9551968574523926  0.057341769337654114  0.4321919083595276  0.1843707263469696  -0.8827332258224487  -0.8537559509277344  -0.231531023979187  -0.466362863779068,-99.61386024951935  -96.27825766801834  1047.1199750900269,-1
59,132,02,0.9920511841773987,-0.7533565163612366  0.6487974524497986  0.10731228440999985  -0.17678457498550415  -0.3569861650466919  0.9172284603118896  0.6334043145179749  0.6720288991928101  0.3836352527141571,-48.5728345811367  -72.31447845697403  832.3973417282104,-1
59,710,02,0.9975253939628601,-0.5071315765380859  0.8618574142456055  0.004404077772051096  0.4082086384296417  0.24469107389450073  -0.8794838786125183  -0.7590673565864563  -0.4442163407802582  -0.47590819001197815,137.32188940048218  -56.21261149644852  879.0829181671143,-1
50,1058,02,0.9987804293632507,-0.9856511950492859  0.16088826954364777  0.051056068390607834  0.0867331326007843  0.22325162589550018  0.9708945155143738  0.14480715990066528  0.9613916277885437  -0.23400259017944336,57.36454203724861  -83.78547430038452  995.8566427230835,-1
59,523,02,0.9958838820457458,-0.315120130777359  0.948462724685669  0.033435430377721786  0.3840651512145996  0.15966124832630157  -0.9093965888023376  -0.8678670525550842  -0.27372780442237854  -0.4145839810371399,138.9618217945099  -49.96727034449577  922.0325350761414,-1
54,1178,02,0.9999648332595825,0.21065378189086914  0.976731538772583  0.0402558371424675  0.2878924310207367  -0.022631485015153885  -0.9573953747749329  -0.9342071413993835  0.21326828002929688  -0.2859610319137573,-161.53287887573242  -47.2244955599308  1059.8816871643066,-1
50,1592,02,0.9999991655349731,0.9493402242660522  -0.06020689755678177  0.30842870473861694  -0.1832631677389145  -0.9033672213554382  0.38774001598358154  0.2552797496318817  -0.4246208071708679  -0.8686364889144897,-15.33267181366682  -95.36051750183105  982.1588397026062,-1
59,1060,02,0.9980399012565613,0.7695561051368713  -0.6379964351654053  0.027279116213321686  -0.29399028420448303  -0.391888290643692  -0.8717759847640991  0.5668802261352539  0.662860631942749  -0.4891446828842163,99.9775379896164  -42.69519820809364  868.0145144462585,-1
59,530,02,0.9973883032798767,-0.35317063331604004  0.9339023232460022  0.05565027520060539  0.3511444330215454  0.1874559074640274  -0.9173647165298462  -0.8671610355377197  -0.3044449985027313  -0.39413854479789734,135.7867866754532  -42.39784926176071  908.5602164268494,-1
50,1678,02,0.9999986886978149,-0.9401105642318726  0.04514318332076073  0.33786728978157043  0.18687471747398376  0.8972182869911194  0.4000968337059021  -0.2850790023803711  0.4392741322517395  -0.8519204258918762,-45.49938440322876  -86.02242916822433  913.6441349983215,-1
54,90,02,0.9998040795326233,-0.4262305498123169  0.8985428214073181  0.10463495552539825  0.3860044479370117  0.28526338934898376  -0.8772830367088318  -0.8181248903274536  -0.33353525400161743  -0.46842941641807556,-53.70372533798218  -106.18521273136139  1058.0652952194214,-1
59,1132,02,0.9973113536834717,0.8492969274520874  -0.5278359651565552  0.009162545204162598  -0.25124073028564453  -0.4193934202194214  -0.8723456859588623  0.46429818868637085  0.7385786175727844  -0.4888034164905548,112.03072220087051  -27.61583775281906  849.6803045272827,-1
50,1778,02,0.9999921321868896,-0.9303537607192993  -0.0024872608482837677  0.3666546940803528  0.14949294924736023  0.9105165600776672  0.3855017125606537  -0.3348040282726288  0.4134652614593506  -0.846730649471283,-34.921836107969284  -92.1950563788414  894.1912651062012,-1
59,29,02,0.9993869066238403,-0.892047107219696  0.1389274299144745  0.43005961179733276  0.20104266703128815  0.9742268323898315  0.10229440778493881  -0.4047640562057495  0.17771175503730774  -0.8969864249229431,-67.17713922262192  -47.62132093310356  750.9952187538147,-1
50,1782,02,0.999997615814209,0.9333814978599548  -0.001376006635837257  0.35888317227363586  -0.14357608556747437  -0.9179137349128723  0.36989259719848633  0.3289147615432739  -0.3967779278755188  -0.8569612503051758,-35.53711995482445  -89.08616006374359  861.6120219230652,-1
59,1027,02,0.9983799457550049,-0.7775336503982544  0.6282970905303955  0.02615731954574585  0.28263387084007263  0.38631942868232727  -0.8779951333999634  -0.5617468357086182  -0.675277829170227  -0.4779543876647949,113.4977862238884  -42.51424968242645  849.9357104301453,-1
59,515,02,0.9956133365631104,-0.2881455421447754  0.9571404457092285  0.02922719344496727  0.3449714481830597  0.13222867250442505  -0.9292525053024292  -0.8932899236679077  -0.25767746567726135  -0.36828726530075073,134.17863845825195  -50.5666509270668  918.9784526824951,-1
50,1713,02,0.9999979734420776,-0.9361006617546082  0.0270999688655138  0.3506867587566376  0.17615343630313873  0.899101197719574  0.4007330536842346  -0.30444300174713135  0.43690112233161926  -0.8464229702949524,-56.31077662110329  -92.17199683189392  896.2951898574829,-1
50,681,02,0.9997758269309998,0.9566769003868103  0.021747374907135963  0.2903381288051605  0.12234266102313995  0.8748682737350464  -0.46865522861480713  -0.2641996741294861  0.4838724136352539  0.8343057632446289,96.8557819724083  -100.22944211959839  1026.9219875335693,-1
59,1251,02,0.9999475479125977,0.9027743339538574  -0.42997896671295166  0.01080518588423729  -0.21215860545635223  -0.46701520681381226  -0.8584203720092773  0.3741488754749298  0.772667407989502  -0.5128330588340759,148.61421287059784  -44.554922729730606  830.9949636459351,-1
50,1718,02,0.999997615814209,-0.9356257319450378  0.03466694429516792  0.35128724575042725  0.18790610134601593  0.8913630843162537  0.41250845789909363  -0.2988240718841553  0.45196253061294556  -0.8404963612556458,-52.343904972076416  -100.038543343544  893.5706615447998,-1
54,1573,02,0.9999988079071045,0.38619527220726013  0.9212717413902283  0.04595573991537094  0.2575104534626007  -0.05983971804380417  -0.9644209146499634  -0.8857435584068298  0.38428881764411926  -0.2603468596935272,-130.69656491279602  -12.62283232063055  949.7193694114685,-1
54,43,02,0.9999947547912598,-0.23264862596988678  0.9674409031867981  0.09966340661048889  0.4810622036457062  0.20353157818317413  -0.852733314037323  -0.8452537059783936  -0.1504429131746292  -0.5127505660057068,-105.52609711885452  -127.14093923568726  1066.8563842773438,-1
50,1150,02,0.9963235855102539,0.9899974465370178  0.1052001565694809  -0.094009630382061  -0.09651832282543182  0.019004132598638535  -0.9951497912406921  -0.1029033362865448  0.9942695498466492  0.028967780992388725,46.612657606601715  -75.5142793059349  935.4771971702576,-1
50,1145,02,0.9983569979667664,0.9963569641113281  0.07458686828613281  -0.041349057108163834  -0.08524313569068909  0.8855705857276917  -0.4566163718700409  0.002559920772910118  0.4584776759147644  0.8887022733688354,41.26060754060745  -78.10051739215851  925.2699017524719,-1
54,1012,02,0.9999985694885254,-0.1124674379825592  0.9906139373779297  0.07768654823303223  0.34985819458961487  0.11265386641025543  -0.9300045371055603  -0.9300269484519958  -0.07741594314575195  -0.3592442572116852,-61.1252598464489  -48.85908216238022  1012.6490592956543,-1
54,583,02,0.9986271858215332,-0.49932852387428284  0.8494822382926941  0.17044362425804138  0.21593666076660156  0.3125317096710205  -0.9250379800796509  -0.8390723466873169  -0.4250928461551666  -0.3394903242588043,-11.59235741943121  -88.07146549224854  1020.9008455276489,-1
54,543,02,0.9994301199913025,-0.6189095377922058  0.7778017520904541  0.10943321138620377  0.24107427895069122  0.32070213556289673  -0.9159876108169556  -0.7475521564483643  -0.5405319333076477  -0.3859935700893402,14.231792651116848  -94.39139813184738  1039.2357110977173,-1
54,390,02,0.9971721768379211,-0.47198694944381714  0.8745038509368896  0.11167658865451813  0.22865444421768188  0.24376842379570007  -0.9424936175346375  -0.8514374494552612  -0.41930925846099854  -0.31501463055610657,-48.64490404725075  -80.6037038564682  1184.503197669983,-1
50,1098,02,0.9991825222969055,0.9826299548149109  0.07920414209365845  0.1678246706724167  -0.067979596555233  0.9951133131980896  -0.07161223888397217  -0.17267653346061707  0.05895967409014702  0.983212411403656,64.56959992647171  -49.449872225522995  1069.6572065353394,-1
59,1063,02,0.9974033236503601,0.8371113538742065  -0.5462061166763306  0.030057275667786598  -0.21249254047870636  -0.3753123879432678  -0.9022125005722046  0.5040750503540039  0.7488654851913452  -0.43024304509162903,93.45917403697968  -37.99855709075928  828.5070657730103,-1
59,61,02,0.967201828956604,0.6384104490280151  0.7694486379623413  -0.01951375976204872  0.35517618060112  -0.3169916868209839  -0.8794123530387878  -0.6828483939170837  0.5544952154159546  -0.47566068172454834,-87.88399398326874  -66.95237755775452  985.2286577224731,-1
59,126,02,0.9675865769386292,0.5356813669204712  0.8435117602348328  -0.03915846347808838  0.3652633726596832  -0.2732759416103363  -0.8898892998695374  -0.761333167552948  0.46239393949508667  -0.45449280738830566,-62.4578483402729  -91.84271842241287  1015.5892372131348,-1
50,1324,02,0.9999839067459106,-0.9750680923461914  0.04265279695391655  0.21776868402957916  0.13108910620212555  0.9025325179100037  0.4101840853691101  -0.17904779314994812  0.42850443720817566  -0.8856217265129089,-19.374556839466095  -90.78281372785568  902.0698666572571,-1
50,1026,02,0.9980788230895996,-0.9879787564277649  0.1523447036743164  0.026250621303915977  0.059109628200531006  0.2153768241405487  0.9747403860092163  0.14284275472164154  0.9645745158195496  -0.22179275751113892,75.51613450050354  -85.29183268547058  1004.1539669036865,-1
59,1074,02,0.9993420243263245,0.8015751242637634  -0.5976570844650269  0.016834678128361702  -0.25102224946022034  -0.361957848072052  -0.8977606892585754  0.5426465272903442  0.7153966426849365  -0.4401616156101227,94.42980587482452  -38.32758963108063  857.8735589981079,-1
50,737,02,0.9999934434890747,0.9583863019943237  0.03684666380286217  0.2830866277217865  0.10492155700922012  0.8767668604850769  -0.46933093667030334  -0.2654942274093628  0.47950226068496704  0.8364153504371643,128.50548326969147  -82.10992068052292  1032.1158170700073,-1
50,1708,02,0.9999995231628418,-0.9352507591247559  0.02781287580728531  0.3528915047645569  0.17902469635009766  0.8971825838088989  0.4037495255470276  -0.30537867546081543  0.44078338146209717  -0.8440699577331543,-57.25957825779915  -92.30109304189682  900.9104371070862,-1
59,637,02,0.9900439977645874,-0.430946409702301  0.9022618532180786  0.014456742443144321  0.4136887192726135  0.21177703142166138  -0.8854446411132812  -0.8019644021987915  -0.37559857964515686  -0.46452006697654724,144.6528285741806  -71.18502259254456  893.8193917274475,-1
59,801,02,0.9994267225265503,-0.6294763684272766  0.7768322229385376  0.017067400738596916  0.3488397002220154  0.30215984582901  -0.8871361017227173  -0.6943129301071167  -0.5524774789810181  -0.46119236946105957,127.9086321592331  -44.926293194293976  871.3990449905396,-1
50,1113,02,0.9995552897453308,0.9957253932952881  0.09177321940660477  -0.010428259149193764  -0.08574409782886505  0.8764784336090088  -0.4737442433834076  -0.034336887300014496  0.47261330485343933  0.8806007504463196,51.83199420571327  -73.36267083883286  947.6526379585266,-1
59,1148,02,0.9987603425979614,0.8673600554466248  -0.49753230810165405  0.012165176682174206  -0.2273615449666977  -0.4178719222545624  -0.8795962929725647  0.44271108508110046  0.7601608633995056  -0.47556519508361816,117.75065958499908  -24.992190301418304  847.5708961486816,-1
50,712,02,0.9999055862426758,-0.9597471356391907  0.023415010422468185  -0.2798880338668823  -0.10626792907714844  0.8921639919281006  0.43903395533561707  0.259986013174057  0.45110467076301575  -0.8537634015083313,101.2100949883461  -79.35897260904312  1016.636848449707,-1
54,1531,02,0.999996542930603,0.3314093053340912  0.9431638717651367  0.024697519838809967  0.27522751688957214  -0.07160498946905136  -0.9587087631225586  -0.9024510383605957  0.3245224952697754  -0.2833152115345001,-128.84338200092316  -17.406681552529335  980.4069399833679,-1
59,274,02,0.9926438927650452,0.19890059530735016  0.9796278476715088  0.02771494910120964  0.396879106760025  -0.05465942993760109  -0.9162420034408569  -0.89606112241745  0.19324056804180145  -0.3996655344963074,93.43600273132324  -50.64541473984718  1072.2802877426147,-1
59,1068,02,0.9976630210876465,0.8116097450256348  -0.5840756893157959  0.012049881741404533  -0.25527340173721313  -0.3731204569339752  -0.8919734954833984  0.5254761576652527  0.7208584547042847  -0.4519272446632385,95.66362202167511  -38.496509194374084  849.9345779418945,-1
50,1263,02,0.9999864101409912,0.9879204630851746  0.06301282346248627  -0.14157207310199738  -0.12339865416288376  0.8725123405456543  -0.47275272011756897  0.09373388439416885  0.4845119118690491  0.8697483539581299,10.379140265285969  -77.4422213435173  935.2298974990845,-1
59,68,02,0.9891858100891113,0.6436033844947815  0.7653568983078003  -0.0019363649189472198  0.36832189559936523  -0.3119448125362396  -0.8758023381233215  -0.6709052324295044  0.5629560947418213  -0.48266640305519104,-97.10422903299332  -75.60611516237259  981.8192720413208,-1
54,1355,02,0.9999983310699463,0.2457594871520996  0.9686574339866638  0.036126405000686646  0.27627676725387573  -0.034273661673069  -0.9604669213294983  -0.9291251301765442  0.24602475762367249  -0.276040643453598,-131.8913996219635  -28.772888705134392  1020.2716588973999,-1
50,1130,02,0.997870683670044,-0.9885841012001038  0.13240334391593933  0.07190883904695511  0.09439720213413239  0.17229217290878296  0.9805124998092651  0.11743378639221191  0.9761070013046265  -0.1828238070011139,44.94596645236015  -64.95753675699234  953.4733891487122,-1
50,1094,02,0.9937655925750732,0.9896058440208435  0.1227244958281517  -0.07495972514152527  -0.08741498738527298  0.09946484863758087  -0.9911938309669495  -0.11418791860342026  0.9874438643455505  0.109158955514431,56.41932785511017  -70.25393098592758  968.1205153465271,-1
59,1131,02,0.9984769225120544,0.8500672578811646  -0.5265709161758423  0.010434847325086594  -0.24607345461845398  -0.41460877656936646  -0.8760978579521179  0.46565407514572144  0.7421743869781494  -0.48202037811279297,112.79824376106262  -28.59841287136078  851.6016602516174,-1
59,1,02,0.9964134097099304,0.6672490239143372  0.7446333169937134  -0.017325717955827713  0.3370606303215027  -0.32261210680007935  -0.884483814239502  -0.6642054915428162  0.5843310356140137  -0.46624910831451416,-87.23194152116776  -62.89201229810715  1007.2239637374878,-1
50,1189,02,0.9999109506607056,-0.9934245347976685  0.04575544223189354  0.10494930297136307  0.09006579965353012  0.87824946641922  0.4696446359157562  -0.07068287581205368  0.4760088324546814  -0.8765954375267029,31.705792993307114  -83.45411717891693  926.7261624336243,-1
50,642,02,0.9998024106025696,-0.9543923139572144  0.01752970740199089  -0.29804039001464844  -0.12288832664489746  0.8867225050926208  0.4456700086593628  0.2720915675163269  0.4619697630405426  -0.8441268801689148,67.93974339962006  -98.08561205863953  1025.7030725479126,-1
50,1052,02,0.9985734224319458,-0.9905303716659546  0.12804476916790009  0.049540821462869644  0.08293204754590988  0.27044689655303955  0.959156334400177  0.10941676795482635  0.954181969165802  -0.2785048484802246,56.340813636779785  -84.2047780752182  996.9794750213623,-1
50,722,02,0.9998548030853271,0.9570330381393433  0.034693650901317596  0.2878958582878113  0.10836224257946014  0.8781030178070068  -0.4660395681858063  -0.2689708173274994  0.4772123396396637  0.8366141319274902,119.13274973630905  -81.68309926986694  1034.5370769500732,-1
59,1048,02,0.9939352869987488,-0.76961350440979  0.6382391452789307  0.018604815006256104  0.2951622009277344  0.38145366311073303  -0.8759979605674744  -0.5661929249763489  -0.6686883568763733  -0.481955885887146,108.72331261634827  -39.22630101442337  866.0194873809814,-1
59,567,02,0.9756453037261963,-0.502623975276947  0.864425539970398  -0.011729121208190918  0.3828290104866028  0.21039198338985443  -0.8995426893234253  -0.7751200795173645  -0.45662200450897217  -0.4366752505302429,153.5734236240387  -67.75262951850891  904.9439430236816,-1
59,1544,02,0.9995647072792053,-0.9738795161247253  0.2238764464855194  -0.03792107477784157  0.15121451020240784  0.5148633122444153  -0.8438305854797363  -0.16938963532447815  -0.8275235891342163  -0.5352681875228882,138.00150156021118  -29.1731134057045  768.0120468139648,-1
59,1070,02,0.9965214729309082,0.7959967255592346  -0.6048591732978821  0.02312668040394783  -0.26093971729278564  -0.37737077474594116  -0.8885391354560852  0.5461682677268982  0.7012396454811096  -0.458217591047287,96.83901816606522  -35.60996428132057  854.179322719574,-1
59,1539,02,0.9998947381973267,0.9724205732345581  -0.2329094260931015  -0.012299073860049248  -0.13829770684242249  -0.533339262008667  -0.8345195055007935  0.1878078728914261  0.8132049441337585  -0.5508410334587097,134.8092555999756  -32.36189857125282  756.5692067146301,-1
54,1619,02,0.9999806880950928,0.40013647079467773  0.9142221212387085  0.06394320726394653  0.3168257474899292  -0.0725228562951088  -0.9457070827484131  -0.8599490523338318  0.3986707627773285  -0.3186681270599365,-107.52984136343002  -18.94947700202465  949.7213959693909,-1
50,1874,02,0.9999837875366211,-0.9002196192741394  -0.007495947182178497  0.43537166714668274  0.1462002396583557  0.9366061687469482  0.31842470169067383  -0.4101586639881134  0.350303590297699  -0.8420553207397461,-62.82728165388107  -81.64779096841812  911.8632078170776,-1
54,866,02,0.9999982118606567,-0.1757386475801468  0.982587993144989  0.0603070929646492  0.3192630112171173  0.11483621597290039  -0.9406826496124268  -0.9312289357185364  -0.14606048166751862  -0.3338850736618042,-78.14188301563263  -50.51908642053604  1029.1436910629272,-1
54,1042,02,0.9999992847442627,-0.07097065448760986  0.9936109781265259  0.08775276690721512  0.3252262771129608  0.10621721297502518  -0.9396520256996155  -0.9429692625999451  -0.03814820945262909  -0.3306867182254791,-40.22767022252083  -56.15341663360596  993.0445551872253,-1
50,1266,02,0.9999654293060303,0.9864850640296936  0.066290944814682  -0.14984261989593506  -0.12966838479042053  0.8749090433120728  -0.4666053354740143  0.1001669391989708  0.479729026556015  0.871680498123169,10.501319542527199  -79.06836271286011  934.9549412727356,-1
50,1192,02,0.9950394034385681,-0.9890164136886597  -0.11490722000598907  -0.09296713024377823  0.10317857563495636  -0.08636146038770676  -0.9909065365791321  0.10583353787660599  -0.9896150231361389  0.09726885706186295,39.51669484376907  -70.10557502508163  951.386570930481,-1
59,514,02,0.9934711456298828,-0.27946043014526367  0.9595311284065247  0.03466978669166565  0.3416442275047302  0.1331183761358261  -0.9303540587425232  -0.8973188400268555  -0.24815240502357483  -0.3650195598602295,132.83699750900269  -51.09836906194687  937.3134970664978,-1
54,604,02,0.9996967315673828,-0.3385326862335205  0.9298705458641052  0.14400207996368408  0.3397054672241211  0.2634950578212738  -0.9028679132461548  -0.8774940371513367  -0.2567320168018341  -0.40508371591567993,-18.364528194069862  -73.03885370492935  1009.0396404266357,-1
50,1169,02,0.9992786049842834,-0.9869418144226074  -0.13707032799720764  -0.08460267633199692  0.11415434628725052  -0.22463563084602356  -0.9677332639694214  0.11364274471998215  -0.9647542238235474  0.23734945058822632,40.87725654244423  -76.63115859031677  960.7046842575073,-1
59,99,02,0.9931529760360718,0.6033106446266174  0.7971804738044739  0.022799177095294  0.426690936088562  -0.29850611090660095  -0.8537149429321289  -0.6737590432167053  0.5247835516929626  -0.5202414989471436,-51.120299845933914  -116.14380776882172  992.7685856819153,-1
50,1077,02,0.9960940480232239,0.994418740272522  0.10093218088150024  0.030727367848157883  -0.0944197028875351  0.981307327747345  -0.167693093419075  -0.04707862436771393  0.1638558954000473  0.985360324382782,62.28236109018326  -70.98725438117981  1046.1647510528564,-1
59,1546,02,0.9991223216056824,-0.9743684530258179  0.22366631031036377  -0.024075042456388474  0.1414269208908081  0.5258230566978455  -0.8387542366981506  -0.17494183778762817  -0.8206605315208435  -0.5439777374267578,138.5735422372818  -26.853257790207863  762.9863023757935,-1
54,1580,02,0.9999936819076538,0.38311442732810974  0.9219063520431519  0.057551413774490356  0.30030184984207153  -0.06539062410593033  -0.9516002535820007  -0.8735228776931763  0.3818545639514923  -0.30190226435661316,-139.22163844108582  -16.06670767068863  952.7364373207092,-1
59,545,02,0.9899640679359436,-0.5204569101333618  0.8535948991775513  -0.022370994091033936  0.44808804988861084  0.25072047114372253  -0.8581120371818542  -0.726871132850647  -0.456634521484375  -0.5129748582839966,150.94247460365295  -44.462889432907104  900.9409546852112,-1
54,202,02,0.9994258880615234,-0.45558130741119385  0.8849566578865051  0.09642326086759567  0.28235816955566406  0.24637830257415771  -0.927130937576294  -0.8442273139953613  -0.3951576352119446  -0.362120121717453,-49.386754631996155  -85.6260359287262  1232.915759086609,-1
50,923,02,0.9953464865684509,-0.9820687770843506  0.17622452974319458  -0.06697580218315125  -0.010051855817437172  0.30581390857696533  0.9520382285118103  0.18825462460517883  0.935640275478363  -0.29855892062187195,120.08361518383026  -98.00366312265396  1031.4676761627197,-1
54,1063,02,0.9999945163726807,-0.018079724162817  0.9971904754638672  0.07269429415464401  0.32311198115348816  0.07463223487138748  -0.9434133172035217  -0.9461880922317505  0.006431747227907181  -0.32355353236198425,-75.39677619934082  -66.67325645685196  981.4091324806213,-1
59,1076,02,0.9985440969467163,0.8068912625312805  -0.5904204249382019  0.018177224323153496  -0.25508183240890503  -0.3760297894477844  -0.8908056616783142  0.5327850580215454  0.714146614074707  -0.4540206491947174,89.37425166368484  -44.02614384889603  849.9559164047241,-1
50,1629,02,0.9999990463256836,0.9447334408760071  -0.05520295724272728  0.3231585919857025  -0.1882663369178772  -0.8983338475227356  0.39692848920822144  0.2683926224708557  -0.4358314573764801  -0.8590788245201111,-25.481784716248512  -84.28975939750671  949.6631622314453,-1
50,662,02,0.9985187649726868,0.9541778564453125  0.004209069535136223  0.2992108166217804  0.1410033404827118  0.8756128549575806  -0.46197450160980225  -0.2639372944831848  0.48299551010131836  0.8348967432975769,84.26618576049805  -99.30148720741272  1035.470724105835,-1
59,1110,02,0.9876832365989685,0.8264436721801758  -0.5628370642662048  0.01432793214917183  -0.26066815853118896  -0.40506166219711304  -0.8763430118560791  0.4990420639514923  0.7205133438110352  -0.4814743399620056,93.28774362802505  -47.321051359176636  839.2635583877563,-1
50,629,02,0.9992846846580505,-0.9534516930580139  0.018077652901411057  -0.30100351572036743  -0.12141286581754684  0.890700101852417  0.4380780756473541  0.2760232985019684  0.45423197746276855  -0.8470445871353149,52.826061844825745  -94.82229501008987  1028.7100076675415,-1
50,1284,02,0.9999815225601196,-0.9845679998397827  0.05525008216500282  0.16605244576931  0.12565386295318604  0.8836190104484558  0.45103076100349426  -0.12180759012699127  0.4649355411529541  -0.8769252300262451,4.052830394357443  -83.80463719367981  925.320565700531,-1
54,1110,02,0.9999656677246094,0.016558971256017685  0.9983015656471252  0.05585513636469841  0.3214438855648041  0.047582052648067474  -0.9457323551177979  -0.9467838406562805  0.03361464664340019  -0.3201100826263428,-57.82786384224892  -42.53942891955376  982.6329946517944,-1
54,86,02,0.9997641444206238,-0.4649209976196289  0.8801608085632324  0.09573708474636078  0.39214444160461426  0.3016664981842041  -0.8690339922904968  -0.7937701940536499  -0.36648938059806824  -0.4854012131690979,-50.01876503229141  -97.73043543100357  1057.598352432251,-1
54,514,02,0.9946921467781067,0.7303955554962158  -0.6718093752861023  0.1232660561800003  -0.04332900792360306  -0.22568076848983765  -0.9732373356819153  0.6816487312316895  0.705507218837738  -0.1939450204372406,10.482924990355968  -84.78576689958572  901.8497467041016,-1
59,55,02,0.9839715957641602,0.6246616244316101  0.780392050743103  -0.028034087270498276  0.3169485330581665  -0.28618311882019043  -0.9042360782623291  -0.7136815786361694  0.555956244468689  -0.42611178755760193,-75.28171688318253  -55.15402927994728  993.3308959007263,-1
59,1129,02,0.9981786012649536,-0.8497108221054077  0.5272232890129089  0.005219830200076103  0.2319757640361786  0.3827224671840668  -0.8942655324935913  -0.4734753966331482  -0.7586562037467957  -0.4475064277648926,110.72493344545364  -30.96204437315464  857.7924370765686,-1
50,1613,02,0.999998927116394,0.9463701248168945  -0.0596826896071434  0.3175240457057953  -0.18803882598876953  -0.9009332060813904  0.3911016881465912  0.2627260088920593  -0.4298338294029236  -0.8638390302658081,-20.88238298892975  -84.75283533334732  959.9953889846802,-1
59,561,02,0.9958171248435974,-0.27911052107810974  0.9590815305709839  0.04753885418176651  0.36803001165390015  0.1525670289993286  -0.9172117114067078  -0.8869336843490601  -0.2385077029466629  -0.3955538272857666,147.01339602470398  -62.38621845841408  923.217236995697,-1
50,1658,02,0.9999973773956299,-0.9415084719657898  0.04300867021083832  0.33423343300819397  0.18182949721813202  0.8998905420303345  0.39640235900878906  -0.2837247848510742  0.4339897334575653  -0.8550748825073242,-30.144834890961647  -98.38060289621353  946.5039372444153,-1
50,1542,02,0.9999980926513672,-0.958687424659729  0.045446161180734634  0.2808081805706024  0.16246826946735382  0.8977848291397095  0.4093734323978424  -0.23350082337856293  0.4380834996700287  -0.8680784106254578,-16.083963215351105  -91.89995378255844  969.4904088973999,-1
50,660,02,0.9998181462287903,-0.9521608948707581  0.02185795083642006  -0.3048149049282074  -0.126266747713089  0.8801781535148621  0.4575403332710266  0.27829232811927795  0.4741399586200714  -0.8353111147880554,81.64437115192413  -100.79579800367355  1024.4706869125366,-1
50,1209,02,0.9996633529663086,-0.9933950304985046  0.054901640862226486  0.10075754672288895  0.09379737824201584  0.8943318128585815  0.437461793422699  -0.06609329581260681  0.4440231919288635  -0.8935743570327759,25.614963844418526  -71.1987242102623  931.5778613090515,-1
54,1111,02,0.9999954700469971,0.0012190421111881733  0.9981900453567505  0.060129448771476746  0.3116322159767151  0.05675600841641426  -0.9485063552856445  -0.9502020478248596  0.019894538447260857  -0.3109988868236542,-56.58959224820137  -40.0128997862339  979.919970035553,-1
50,651,02,0.9996676445007324,-0.9519687294960022  0.020462993532419205  -0.3055107295513153  -0.12699642777442932  0.881511390209198  0.4547630250453949  0.2786170244216919  0.471718966960907  -0.836572527885437,73.09386134147644  -102.96089202165604  1023.4829187393188,-1
54,588,02,0.9994022846221924,-0.4899909496307373  0.8580398559570312  0.15387225151062012  0.24936649203300476  0.3071039021015167  -0.9184246063232422  -0.8352996110916138  -0.41164910793304443  -0.36444446444511414,-10.2313831448555  -85.02940833568573  1018.3073282241821,-1
54,1028,02,0.9999995231628418,-0.12600597739219666  0.9885284304618835  0.08327029645442963  0.3252968490123749  0.12047109752893448  -0.9379066228866577  -0.9371790289878845  -0.09109427779912949  -0.33674532175064087,-22.163694724440575  -45.25062069296837  1002.9773712158203,-1
59,636,02,0.9903267025947571,-0.4519999027252197  0.8920178413391113  0.0005886498838663101  0.3981848955154419  0.20235717296600342  -0.8947069644927979  -0.7982136011123657  -0.4041730761528015  -0.44665342569351196,144.88071203231812  -70.38570940494537  889.3294930458069,-1
59,525,02,0.9952412843704224,-0.3389160633087158  0.9395632147789001  0.04855018109083176  0.38600435853004456  0.1859283149242401  -0.9035660624504089  -0.8579840660095215  -0.28749239444732666  -0.4256895184516907,141.63537323474884  -49.31437224149704  923.5560894012451,-1
54,1083,02,0.9999691247940063,0.002418573945760727  0.9980801343917847  0.061890650540590286  0.34117984771728516  0.05735364928841591  -0.9382467269897461  -0.9399948716163635  0.023385055363178253  -0.3403860628604889,-89.11550045013428  -78.21808755397797  981.4878106117249,-1
50,1242,02,0.9999237060546875,-0.9892382025718689  0.0695057064294815  0.12875090539455414  0.11945077031850815  0.8918196558952332  0.4363364577293396  -0.08449471741914749  0.4470200836658478  -0.8905244469642639,13.737238012254238  -66.12236797809601  932.6703548431396,-1
